puntos,comision,produccion
7248,0.03,217440.0
7249,0.03,217470.0
7250,0.03,217500.0
7251,0.04,290040.0
7252,0.04,290080.0
7253,0.04,290120.0
7254,0.04,290160.0
7255,0.04,290200.0
7256,0.04,290240.0
7257,0.04,290280.0
7258,0.04,290320.0
7259,0.04,290360.0
7260,0.04,290400.0
7261,0.04,290440.0
7262,0.04,290480.0
7263,0.04,290520.0
7264,0.04,290560.0
7265,0.04,290600.0
7266,0.04,290640.0
7267,0.04,290680.0
7268,0.04,290720.0
7269,0.04,290760.0
7270,0.04,290800.0
7271,0.04,290840.0
7272,0.04,290880.0
7273,0.04,290920.0
7274,0.04,290960.0
7275,0.04,291000.0
7276,0.04,291040.0
7277,0.04,291080.0
7278,0.04,291120.0
7279,0.04,291160.0
7280,0.04,291200.0
7281,0.04,291240.0
7282,0.04,291280.0
7283,0.04,291320.0
7284,0.04,291360.0
7285,0.04,291400.0
7286,0.04,291440.0
7287,0.04,291480.0
7288,0.04,291520.0
7289,0.04,291560.0
7290,0.04,291600.0
7291,0.04,291640.0
7292,0.04,291680.0
7293,0.04,291720.0
7294,0.04,291760.0
7295,0.04,291800.0
7296,0.04,291840.0
7297,0.04,291880.0
7298,0.04,291920.0
7299,0.04,291960.0
7300,0.04,292000.0
7301,0.04,292040.0
7302,0.04,292080.0
7303,0.04,292120.0
7304,0.04,292160.0
7305,0.04,292200.0
7306,0.04,292240.0
7307,0.04,292280.0
7308,0.04,292320.0
7309,0.04,292360.0
7310,0.04,292400.0
7311,0.04,292440.0
7312,0.04,292480.0
7313,0.04,292520.0
7314,0.04,292560.0
7315,0.04,292600.0
7316,0.04,292640.0
7317,0.04,292680.0
7318,0.04,292720.0
7319,0.04,292760.0
7320,0.04,292800.0
7321,0.04,292840.0
7322,0.04,292880.0
7323,0.04,292920.0
7324,0.04,292960.0
7325,0.04,293000.0
7326,0.04,293040.0
7327,0.04,293080.0
7328,0.04,293120.0
7329,0.04,293160.0
7330,0.04,293200.0
7331,0.04,293240.0
7332,0.04,293280.0
7333,0.04,293320.0
7334,0.04,293360.0
7335,0.04,293400.0
7336,0.04,293440.0
7337,0.04,293480.0
7338,0.04,293520.0
7339,0.04,293560.0
7340,0.04,293600.0
7341,0.04,293640.0
7342,0.04,293680.0
7343,0.04,293720.0
7344,0.04,293760.0
7345,0.04,293800.0
7346,0.04,293840.0
7347,0.04,293880.0
7348,0.04,293920.0
7349,0.04,293960.0
7350,0.04,294000.0
7351,0.04,294040.0
7352,0.04,294080.0
7353,0.04,294120.0
7354,0.04,294160.0
7355,0.04,294200.0
7356,0.04,294240.0
7357,0.04,294280.0
7358,0.04,294320.0
7359,0.04,294360.0
7360,0.04,294400.0
7361,0.04,294440.0
7362,0.04,294480.0
7363,0.04,294520.0
7364,0.04,294560.0
7365,0.04,294600.0
7366,0.04,294640.0
7367,0.04,294680.0
7368,0.04,294720.0
7369,0.04,294760.0
7370,0.04,294800.0
7371,0.04,294840.0
7372,0.04,294880.0
7373,0.04,294920.0
7374,0.04,294960.0
7375,0.04,295000.0
7376,0.04,295040.0
7377,0.04,295080.0
7378,0.04,295120.0
7379,0.04,295160.0
7380,0.04,295200.0
7381,0.04,295240.0
7382,0.04,295280.0
7383,0.04,295320.0
7384,0.04,295360.0
7385,0.04,295400.0
7386,0.04,295440.0
7387,0.04,295480.0
7388,0.04,295520.0
7389,0.04,295560.0
7390,0.04,295600.0
7391,0.04,295640.0
7392,0.04,295680.0
7393,0.04,295720.0
7394,0.04,295760.0
7395,0.04,295800.0
7396,0.04,295840.0
7397,0.04,295880.0
7398,0.04,295920.0
7399,0.04,295960.0
7400,0.04,296000.0
7401,0.04,296040.0
7402,0.04,296080.0
7403,0.04,296120.0
7404,0.04,296160.0
7405,0.04,296200.0
7406,0.04,296240.0
7407,0.04,296280.0
7408,0.04,296320.0
7409,0.04,296360.0
7410,0.04,296400.0
7411,0.04,296440.0
7412,0.04,296480.0
7413,0.04,296520.0
7414,0.04,296560.0
7415,0.04,296600.0
7416,0.04,296640.0
7417,0.04,296680.0
7418,0.04,296720.0
7419,0.04,296760.0
7420,0.04,296800.0
7421,0.04,296840.0
7422,0.04,296880.0
7423,0.04,296920.0
7424,0.04,296960.0
7425,0.04,297000.0
7426,0.04,297040.0
7427,0.04,297080.0
7428,0.04,297120.0
7429,0.04,297160.0
7430,0.04,297200.0
7431,0.04,297240.0
7432,0.04,297280.0
7433,0.04,297320.0
7434,0.04,297360.0
7435,0.04,297400.0
7436,0.04,297440.0
7437,0.04,297480.0
7438,0.04,297520.0
7439,0.04,297560.0
7440,0.04,297600.0
7441,0.04,297640.0
7442,0.04,297680.0
7443,0.04,297720.0
7444,0.04,297760.0
7445,0.04,297800.0
7446,0.04,297840.0
7447,0.04,297880.0
7448,0.04,297920.0
7449,0.04,297960.0
7450,0.04,298000.0
7451,0.04,298040.0
7452,0.04,298080.0
7453,0.04,298120.0
7454,0.04,298160.0
7455,0.04,298200.0
7456,0.04,298240.0
7457,0.04,298280.0
7458,0.04,298320.0
7459,0.04,298360.0
7460,0.04,298400.0
7461,0.04,298440.0
7462,0.04,298480.0
7463,0.04,298520.0
7464,0.04,298560.0
7465,0.04,298600.0
7466,0.04,298640.0
7467,0.04,298680.0
7468,0.04,298720.0
7469,0.04,298760.0
7470,0.04,298800.0
7471,0.04,298840.0
7472,0.04,298880.0
7473,0.04,298920.0
7474,0.04,298960.0
7475,0.04,299000.0
7476,0.04,299040.0
7477,0.04,299080.0
7478,0.04,299120.0
7479,0.04,299160.0
7480,0.04,299200.0
7481,0.04,299240.0
7482,0.04,299280.0
7483,0.04,299320.0
7484,0.04,299360.0
7485,0.04,299400.0
7486,0.04,299440.0
7487,0.04,299480.0
7488,0.04,299520.0
7489,0.04,299560.0
7490,0.04,299600.0
7491,0.04,299640.0
7492,0.04,299680.0
7493,0.04,299720.0
7494,0.04,299760.0
7495,0.04,299800.0
7496,0.04,299840.0
7497,0.04,299880.0
7498,0.04,299920.0
7499,0.04,299960.0
7500,0.04,300000.0
7501,0.05,375050.0
7502,0.05,375100.0
7503,0.05,375150.0
7504,0.05,375200.0
7505,0.05,375250.0
7506,0.05,375300.0
7507,0.05,375350.0
7508,0.05,375400.0
7509,0.05,375450.0
7510,0.05,375500.0
7511,0.05,375550.0
7512,0.05,375600.0
7513,0.05,375650.0
7514,0.05,375700.0
7515,0.05,375750.0
7516,0.05,375800.0
7517,0.05,375850.0
7518,0.05,375900.0
7519,0.05,375950.0
7520,0.05,376000.0
7521,0.05,376050.0
7522,0.05,376100.0
7523,0.05,376150.0
7524,0.05,376200.0
7525,0.05,376250.0
7526,0.05,376300.0
7527,0.05,376350.0
7528,0.05,376400.0
7529,0.05,376450.0
7530,0.05,376500.0
7531,0.05,376550.0
7532,0.05,376600.0
7533,0.05,376650.0
7534,0.05,376700.0
7535,0.05,376750.0
7536,0.05,376800.0
7537,0.05,376850.0
7538,0.05,376900.0
7539,0.05,376950.0
7540,0.05,377000.0
7541,0.05,377050.0
7542,0.05,377100.0
7543,0.05,377150.0
7544,0.05,377200.0
7545,0.05,377250.0
7546,0.05,377300.0
7547,0.05,377350.0
7548,0.05,377400.0
7549,0.05,377450.0
7550,0.05,377500.0
7551,0.05,377550.0
7552,0.05,377600.0
7553,0.05,377650.0
7554,0.05,377700.0
7555,0.05,377750.0
7556,0.05,377800.0
7557,0.05,377850.0
7558,0.05,377900.0
7559,0.05,377950.0
7560,0.05,378000.0
7561,0.05,378050.0
7562,0.05,378100.0
7563,0.05,378150.0
7564,0.05,378200.0
7565,0.05,378250.0
7566,0.05,378300.0
7567,0.05,378350.0
7568,0.05,378400.0
7569,0.05,378450.0
7570,0.05,378500.0
7571,0.05,378550.0
7572,0.05,378600.0
7573,0.05,378650.0
7574,0.05,378700.0
7575,0.05,378750.0
7576,0.05,378800.0
7577,0.05,378850.0
7578,0.05,378900.0
7579,0.05,378950.0
7580,0.05,379000.0
7581,0.05,379050.0
7582,0.05,379100.0
7583,0.05,379150.0
7584,0.05,379200.0
7585,0.05,379250.0
7586,0.05,379300.0
7587,0.05,379350.0
7588,0.05,379400.0
7589,0.05,379450.0
7590,0.05,379500.0
7591,0.05,379550.0
7592,0.05,379600.0
7593,0.05,379650.0
7594,0.05,379700.0
7595,0.05,379750.0
7596,0.05,379800.0
7597,0.05,379850.0
7598,0.05,379900.0
7599,0.05,379950.0
7600,0.05,380000.0
7601,0.05,380050.0
7602,0.05,380100.0
7603,0.05,380150.0
7604,0.05,380200.0
7605,0.05,380250.0
7606,0.05,380300.0
7607,0.05,380350.0
7608,0.05,380400.0
7609,0.05,380450.0
7610,0.05,380500.0
7611,0.05,380550.0
7612,0.05,380600.0
7613,0.05,380650.0
7614,0.05,380700.0
7615,0.05,380750.0
7616,0.05,380800.0
7617,0.05,380850.0
7618,0.05,380900.0
7619,0.05,380950.0
7620,0.05,381000.0
7621,0.05,381050.0
7622,0.05,381100.0
7623,0.05,381150.0
7624,0.05,381200.0
7625,0.05,381250.0
7626,0.05,381300.0
7627,0.05,381350.0
7628,0.05,381400.0
7629,0.05,381450.0
7630,0.05,381500.0
7631,0.05,381550.0
7632,0.05,381600.0
7633,0.05,381650.0
7634,0.05,381700.0
7635,0.05,381750.0
7636,0.05,381800.0
7637,0.05,381850.0
7638,0.05,381900.0
7639,0.05,381950.0
7640,0.05,382000.0
7641,0.05,382050.0
7642,0.05,382100.0
7643,0.05,382150.0
7644,0.05,382200.0
7645,0.05,382250.0
7646,0.05,382300.0
7647,0.05,382350.0
7648,0.05,382400.0
7649,0.05,382450.0
7650,0.05,382500.0
7651,0.05,382550.0
7652,0.05,382600.0
7653,0.05,382650.0
7654,0.05,382700.0
7655,0.05,382750.0
7656,0.05,382800.0
7657,0.05,382850.0
7658,0.05,382900.0
7659,0.05,382950.0
7660,0.05,383000.0
7661,0.05,383050.0
7662,0.05,383100.0
7663,0.05,383150.0
7664,0.05,383200.0
7665,0.05,383250.0
7666,0.05,383300.0
7667,0.05,383350.0
7668,0.05,383400.0
7669,0.05,383450.0
7670,0.05,383500.0
7671,0.05,383550.0
7672,0.05,383600.0
7673,0.05,383650.0
7674,0.05,383700.0
7675,0.05,383750.0
7676,0.05,383800.0
7677,0.05,383850.0
7678,0.05,383900.0
7679,0.05,383950.0
7680,0.05,384000.0
7681,0.05,384050.0
7682,0.05,384100.0
7683,0.05,384150.0
7684,0.05,384200.0
7685,0.05,384250.0
7686,0.05,384300.0
7687,0.05,384350.0
7688,0.05,384400.0
7689,0.05,384450.0
7690,0.05,384500.0
7691,0.05,384550.0
7692,0.05,384600.0
7693,0.05,384650.0
7694,0.05,384700.0
7695,0.05,384750.0
7696,0.05,384800.0
7697,0.05,384850.0
7698,0.05,384900.0
7699,0.05,384950.0
7700,0.05,385000.0
7701,0.05,385050.0
7702,0.05,385100.0
7703,0.05,385150.0
7704,0.05,385200.0
7705,0.05,385250.0
7706,0.05,385300.0
7707,0.05,385350.0
7708,0.05,385400.0
7709,0.05,385450.0
